id,group,message,historical_reply,reply_id,created_at,intent,escalate,label_reason,annotator,label_source
1972845,a748cbdc685986a0fac816271631867b96040c3f579179d4c38a8875973c69d4,[USER] Maybe 2 mins not quite long enough to allow customers in live chat? Particularly for those who are disabled and find typing a longer process. In the middle of a chat and I've been disconnected!,"[USER] I'm sorry to hear of this Ruth, chats should only be disconnected if they are idle and show no sign of someone typing. Without providing any personal information can you let us know what your query was? ^KI",1972843,Sun Nov 26 10:04:03 +0000 2017,feedback,1,Live-chat disconnect for a disabled customer,CB,human
222856,b32042a071f2dc3f85c9a15af0d227230c36ccc42fb79325064c75c5bc115932,[USER] We would like to see SBI and ICICI debit/credit cards also signed up for cash back offers along with Citi Bank.,[USER] Thanks for taking your time out. I'll make sure to forward your comments to our teams (1/2) ^VM [USER] internally so that we can have a review on this. (2/2) ^VM,"222855,222857",Thu Oct 05 03:11:35 +0000 2017,feedback,0,Card cashback suggestion; acknowledgement is enough,CB,human
911953,c1e9f5daeeee4f747df0230a4ccfb8344a83a4ddc851db9600eea7ae98aede62,"worst experience [USER] even though dropping a mail to CEO - Mr. Jeff, no revert yet on my iPhone order no. [ORDER_ID]",[USER] I'm sorry to know the issue hasn't been resolved. I'd like to look into the issue and resolve it on priority. Please 1/3 ^SH [USER] provide your details here: [URL] and I'll get back to you. 2/3 ^SH [USER] Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. 3/3 ^SH,"911955,911954,911952",Sat Oct 21 06:56:38 +0000 2017,delivery,1,Unresolved iPhone order after CEO mail,CB,human
2809446,1897532cf0175d3d3f5d57553fdb9d5124b3c09456c69cfd54b363d9a5a9e126,"[USER] 
Thanks a lot. [URL]",[USER] You are welcome. Happy reading :D ^AU,2809445,Wed Nov 22 05:11:01 +0000 2017,feedback,0,Routine thanks with a URL,CB,human
2416826,5a49cf144a916d97cc47bfa0829086939d8e4f2b33b0ea92865c160cbecdbf88,[USER] I’ve tried to cancel my prime trial but I’m told I’m not a member?,[USER] Hi Laura- Did you receive a confirmation email that you had signed up to a trial originally? ^NV,2416824,Sun Oct 29 09:24:39 +0000 2017,subscription,1,Cannot cancel Prime trial; membership state mismatch,CB,human
600284,e1327c2ce5a71f4d15b2f72f1e286d558a92c428f154a3b41e17fe50f00d08e8,Hi [USER] my tracking status says my parcel was delievered but it hasn’t arrived? Can you help please I can’t get through to your customer service line,[USER] Oh no! I'm sorry for the trouble with your delivery. Have you tried the tricks and tips listed here to look for your package: [URL] Let us know! We're here to help. ^TG,600282,Sun Dec 03 21:01:27 +0000 2017,delivery,1,Marked delivered but not received,CB,human
2976540,bdea09b4e049b87de7ac529672b9b30b5033d54c292f06839fb7b3ef23967873,[USER] customer service degrading my order in dispatched status from last 5 days which was returned. Reg mobile number [NUMBER],[USER] Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public. 2/2^SC [USER] Sorry about the trouble with the product and the experience you had with our support team. We would like to take a closer look into this. Please share your details here: - [URL] and we'll get in touch with you at the earliest. 1/2^SC,"2976541,2976539",Thu Nov 30 02:45:02 +0000 2017,refund_return,1,Return stuck in dispatched with poor support,CB,human
2280471,6fa1c44a35e85710ea72c01083baa93db510e56175ca7ced156b77ecaf0cd3bf,[USER] No it's not ok to deliver a gift card for a birthday that's today on another day that's not your birthday. I'm a prime customer too. #Amazoncustomerservice #badcustomerservice #prime,[USER] I'm sorry to hear this. Have you had a chance to report this directly to us for real-time assistance? You can do so here: [URL] ^GR,2280470,Sat Nov 11 20:18:40 +0000 2017,delivery,1,Birthday gift card arrived on the wrong day,CB,human
69971,9505a3a071f35b16b5c5ec0e1f8925be4d8b2aafd4c878e26f97982d2c33a716,[USER] [USER] delivered my prepaid order of Rs 2000 to a different address. That's not it delivered the wrong item too. Check DM.,[USER] We'd like to check this for you. Kindly share your details here: [URL] and I'll look into this. ^SG,69970,Wed Nov 29 14:19:48 +0000 2017,delivery,1,Wrong address and wrong item,CB,human
2456027,9505a3a071f35b16b5c5ec0e1f8925be4d8b2aafd4c878e26f97982d2c33a716,[USER] [USER] the new refund policy is horrible. 9 days and still no refund. Customer care says 2 more days each time we speak.,[USER] Sorry to hear that you have not received your refund. Please provide your details here: [URL] so we can take a closer look at this.^SF,2456026,Wed Nov 15 04:18:54 +0000 2017,refund_return,1,Refund delayed beyond stated timeline,CB,human
235106,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,What is going on with [USER] voice recognition? It's gotten 1 of the last 8 shopping list items right. One!,"[USER] Hey, Geoff, have you done voice training with Alexa? You can learn how here: [URL] Keep us posted! ^LB",235104,Thu Oct 05 13:36:27 +0000 2017,product,1,Alexa voice recognition failing on shopping list,CB,human
480495,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,[USER] where is the button to get back to the 'Home' screen on the [USER] app?,"[USER] Hi, are you able to see the ""Home"" button on the bottom of the screen? You can find more information about the Alexa App here: [URL] ^PJ",480494,Fri Dec 01 13:22:58 +0000 2017,product,1,How-to for Alexa app Home button,CB,human
1688630,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,"Glitches galore getting echo dot to connect to firestck. Or getting certain shows to play using voice remote 
[USER]",[USER] What's happening when connecting your devices? Is your voice remote unable to understand your request for these shows? ^RA,1688627,Mon Nov 06 19:59:29 +0000 2017,product,1,Echo Dot / Fire Stick connectivity glitches,CB,human
2220044,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,"After 2 years, [USER] suddenly can't understand 'GPB Atlanta'. When asked, now she can't find station 'GPB Lanta', or wants to add some gobbledygook Pandora station. Voice recognition deteriorating.","[USER] Sorry to hear this. Have you tried rebooting the device? If not, please plug it out for 60 seconds, restart it and try again. We'd like to help, so keep us posted. ^PK",2220043,Fri Nov 10 12:58:12 +0000 2017,product,1,Alexa no longer recognizes a radio station,CB,human
2473469,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,"My [USER] #Alexa's voice changed mid sentence. The speaker has gotten very tinny/trebley. Even playing Pandora, etc. This along with vox recognition glitches is s  bad turn of events right before the holiday giving season.","[USER] Hi- sorry to hear that. Did you try restarting it already? To restart, unplug the power adapter from the wall outlet and plug back in. You won't lose your registration information or device settings. ^MA",2473468,Wed Nov 15 12:40:03 +0000 2017,product,1,Alexa voice and speaker quality changed,CB,human
2730270,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,[USER] where do I go in the app to replay interactions with Alexa?,"[USER] You can view, edit, and delete your Alexa interactions by following these steps: [URL] I hope this helps! ^ZW",2730269,Mon Nov 20 15:12:16 +0000 2017,product,1,Where to replay Alexa interactions in the app,CB,human
2783176,6b7068762d23da4258c2d438b81c9511a6f9f2f13662de5e5b6ff9250467d995,I told [USER] to add 'pecans' to the shopping list. She added 'book a nice'. Wtf. Recording is clear i said PECANS.,[USER] I'm sorry Alexa didn't hear you correctly. Please send this feedback to our Developers via the Alexa app by following these steps: [URL] ^RA,2783175,Tue Nov 21 17:43:48 +0000 2017,product,1,Alexa misheard a shopping-list item,CB,human
1727736,ab6fe556f40f23f1fe516676ed8ba5e487415522bb1779865a14eb58a755dea1,[USER] very bad service my order did not receive me,[USER] Certainly not the kind of words we'd like to hear. Did we happen to miss the estimated delivery date provided for your order? ^AR,1727735,Tue Nov 07 06:10:21 +0000 2017,delivery,1,Order not received,CB,human
1334317,7d65f4c928cca10f281490c9c8772d7fa8bccae2fa14529995a9302d0602e3da,"[USER] trying to arrange return. Printed label, but cannot find way to arrange collection. Quick reply req as need to return by 03/11",[USER] Check out this page for information on arranging a collection of your item: [URL] ^MW,1334315,Fri Oct 27 13:48:21 +0000 2017,refund_return,1,Needs help arranging return collection,CB,human
1335150,7d65f4c928cca10f281490c9c8772d7fa8bccae2fa14529995a9302d0602e3da,[USER] trying to arrange return.Printed the label but how do I arrange collection? I only have until 03/11 so quick reply appreciated,[USER] I'm sorry for the trouble with your return. If you could please contact us at [URL] we can help! ^TL,1335146,Fri Oct 27 13:39:59 +0000 2017,refund_return,1,Needs help arranging return collection,CB,human
2318846,f397dd656a2e58b5d690ad4ae93a8accaa5dee49452521d40af4d280119b1fb6,[USER] my parcel thrown over the fence AGAIN luckily I found it albeit a day later #delivery #notacceptable #poorservice #nothappy #customer why do I pay my #prime #membership,"[USER] Hi Angie, I'm sorry to hear about this. Was your item damaged at all? ^PJ",2318845,Mon Nov 13 11:16:37 +0000 2017,delivery,1,Parcel thrown over fence,CB,human
2931954,fbf2e40d3373927a7cdc8c55662e4b9c2883b209c27501929ab24b578868181e,[USER] quite possibly the WORST customer service on your web chat 😪😪😪,[USER] I'm sorry to hear about the poor experience. Without giving out account / personal info can you tell s more about the issue? ^MI,2931952,Wed Nov 29 08:08:36 +0000 2017,feedback,1,Web-chat service complaint with no stated order action,CB,human
350770,09451a70c1e0394accfcb36fa8bba8c330be33aa5de1cd0d841c2b359ff783d0,"[USER] Nobody came to deliver the package. Here is wat the status say.
Wat action is required from our end? [URL]","[USER] it to be personal information. Our Twitter page is visible to the public. (3/3)^AP [USER] here: [URL] we'll get back to you soon. Please don't provide your order details, as we consider (2/3)^AP [USER] I'm sorry you've not received the order. We'd like to look into it. Kindly report this to our support team (1/3)^AP","350769,350771,350772",Sun Oct 08 08:52:54 +0000 2017,delivery,1,Failed delivery; asks what action is required,CB,human
961635,83bebd8dad01efbde4c34f0063d608623b0d4c58e8200bf9db6b825297864336,"[USER]  m sending back u my 
Order  4__credit_card__: plz tell me  shipping. Cost will you reverse me in refund amt  or not ?","[USER] Kindly refer here: [URL] for the information on refund of return shipping charges. 1/2 ^AP [USER] Please don't provide your order details, as we consider it to be personal information. 2/2^AP","961634,961636",Tue Oct 17 08:40:06 +0000 2017,refund_return,1,Asks whether return shipping is refunded,CB,human
2398268,e35b2256d02f457a41cb75e1ac519cf8e00aa71c1b582b040d24195fb15538c7,[USER] how can I see when my prime account is due for renewal?,[USER] Great question! You can look into your Prime account details here: [URL] Let us know if you have any questions! All of your information will be displayed on the left side of the screen. ^KJ,2398266,Tue Nov 14 13:18:04 +0000 2017,subscription,1,Needs Prime renewal date; account lookup,CB,human
1305576,3618bf6fcaf9989e5837954a08436977ee82f735036332ca855f100e6e721e88,"[USER], I ordered a package that was supposed to be delivered today, but wasn’t. Can you help me out?",[USER] I'm sorry it wasn't delivered on time! Who was the carrier of the package? You can find out here: [URL] ^RM,1305575,Fri Oct 27 02:18:30 +0000 2017,delivery,1,"Expected today, not delivered",CB,human
1732635,d752ce71cd3578da0da78e73202b87bec51b52ebfe56b227b9eb0cdb4b31947e,"[USER] #AmazonIn [USER] It is so harassing to buy an expensive product from Amazon. Struggling hard to return/replace a defective and seal tampered CellPhone. Already raised the issue, filed a return request but it appears no process has been initiated. #[ORDER_ID]","[USER] I'm sorry that you received a faulty item. Please fill out this form: [URL] and we'll look into this. ^AM [USER] Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AM","1732634,1732636",Tue Nov 07 09:27:08 +0000 2017,refund_return,1,Return/replace defective sealed phone,CB,human
2969503,ff4e06d08b62b597c770747dce22dee1152bc60ff08634687a362b99d6bb9870,Just opened my package... this is how my Christmas lights came to me... do better [USER] #theybetterwork [URL],[USER] So sorry to see this! Not what we intend at all. Was the shipping box damaged at all? ^BL,2969502,Thu Nov 30 00:07:17 +0000 2017,product,1,Damaged Christmas lights in package,CB,human
1275928,8f77a976ad252fa6b98bc3f172fdc9b6540037826a4585eb90b3c0c9896e859f,[USER] tem como entrarem em contato cpm vcs? Preciso de informações sobre um pedido.,"[USER] Olá Amanda, como podemos te ajudar? ^MB",1275927,Thu Oct 26 19:04:38 +0000 2017,other,1,Portuguese request to contact about an order,CB,human
1286679,8f77a976ad252fa6b98bc3f172fdc9b6540037826a4585eb90b3c0c9896e859f,[USER] preciso entrar em contato com vocês,"[USER] Olá Amanda, poderia nos explicar com mais detalhes o que aconteceu sem publicar detalhes da sua conta? ^DA",1286678,Thu Oct 26 19:06:28 +0000 2017,other,1,Portuguese request to contact support,CB,human
2296514,eb55c20458347f473990dce5a07b3a99d6036200fd0fda66d21d860923d2366a,Wow. Burned twice in one week by [USER] one-day shipping. This time by a amzn carrier that didn’t even try to deliver.,"[USER] This isn't what we like to see! I'm sorry for the frustrating experience, what's the most up to date tracking and carrier show here: [URL] ^DW",2296512,Sun Nov 12 21:18:54 +0000 2017,delivery,1,One-day shipping failed; carrier did not attempt,CB,human
2800412,eb55c20458347f473990dce5a07b3a99d6036200fd0fda66d21d860923d2366a,[USER] missed targeted delivery date again. This is getting ridiculous. Don’t guarantee if you can’t make date windows!,[USER] I'm very sorry for the delay. Has the tracking updated with a new expected delivery date: [URL] Was this shipped by Amazon or a third-party seller? ^CL,2800410,Wed Nov 22 00:15:27 +0000 2017,delivery,1,Missed guaranteed delivery window,CB,human
2192548,1b9e1be65f533b1db5c79a58a2e4768cc70edc7d9cba8056e125e9f8c0805da0,[USER] I have been trying for over an hour to get the location on the [URL] website changed to my new location for Amazon Pickup in chat with no help.  Not a good way to be.,[USER] I'm sorry for the trouble! What options has our support team already explored with you? ^WM,2192547,Thu Nov 09 20:13:12 +0000 2017,account,1,Cannot change pickup location on the site,CB,human
2226434,47544fc79eb8db395ebef95fafe25b86bc83e60e6a221617461a18def4197347,[USER] my account is saying it has locked me out and to check my emails on how to get back in- I have no emails and I’m still waiting on a delivery that hasn’t even been dispatched. Can someone DM me to sort this please,"[USER] Hi Rosie, can you check your spam or junk folder? The emails can sometimes be routed there. ^PJ",2226433,Fri Nov 10 10:01:25 +0000 2017,account,1,"Locked out with no recovery email, plus undispatched order",CB,human
2116154,87d2a56bbf19babcbde8780cf9a1bf99e5225310eaa23b14f448cb5fbc04f6e9,Very disappointed with [USER] and #deepoceanstoreuk for losing my purchase of Playback by [USER] Really gutted.,[USER] Sorry to hear this! Have you had the chance to contact us so we can look into available options? [URL] ^TH,2116153,Wed Nov 08 13:30:04 +0000 2017,delivery,1,Purchase lost by seller,CB,human
2465354,44154c171a30fc2f41947c6f1385d9630543fbc336f07ade431ac6a00fe38f16,"[USER] need to register a Amazon Javline drop box to my account but can’t, how do I? Thanks",[USER] We're not sure exactly what you mean. Would you mind providing more details or a link so we can assist further? ^CN,2465353,Sun Oct 29 19:27:33 +0000 2017,account,1,Cannot register a drop box to the account,CB,human
357375,9de677e32b560d38b4eee286176874cc3aad7c56e664d9b643d5aed219a9d5f8,"What a joke service from [USER] Order next day delievery, says item has been delievered when clearly hasnt 😠",[USER] I'm sorry you haven't received your order! Have you reported this to our Customer Support team: [URL] ^ME,357373,Sun Oct 08 15:24:48 +0000 2017,delivery,1,"Tracking says delivered, customer does not have it",CB,human
1616069,5bf72f75970da5c39b9e235f5af73e674cc0f478dceebcda4b8a8edb7f4f7b08,[USER] why don't your couriers deliver parcels properly?,[USER] So sorry for the poor delivery experience! Please contact us here: [URL] so we can look into this! ^AD,1616068,Sun Nov 05 13:26:41 +0000 2017,delivery,1,Courier delivery-quality complaint,CB,human
298999,7f2c4347c10205e3d7682b39dc85e2b7430a81760e34a828903968c3d0acdef6,[USER]  #please_help_me [URL],"[USER] I'm sorry about the trouble with your order. We'd like to help, please share your details here: [URL] ^MA",298998,Fri Oct 06 19:28:53 +0000 2017,other,1,Help request is only a URL; missing image context,CB,human
287989,083cae91a3d1f9bf44aa529900d8b640c5a316bc8530c1cef6f4f28246e161dd,"Is Amazon afraid to share contact details of Amazon Transportation Services? I've called thrice from today morning and the agent says they can share other courier services contact details but not of Amazon Transportation Services. What a joke!!

[USER] [USER] [USER]",[USER] I understand your concern. We deliver orders on or before 8 PM on the Estimated Delivery Date. I request you to wait. ^AG,287987,Wed Oct 11 09:53:04 +0000 2017,delivery,1,Wants Amazon Transportation contact details,CB,human
2900939,8bf587756a67892d0422c30df288a3e9489c731e54a92ded95db3d933fb31e70,[USER] #Amazonlogistics proving to be a nightmare! Day 1. driver too lazy to dial gate code 2x & no call. Day 2. No show! Day 3. Waiting 😡,"[USER] We'd like to take a look into this with you! When you have time, please provide us with some more details here: [URL] and a member of our team can help. ^TK",2900938,Tue Nov 28 18:22:26 +0000 2017,delivery,1,Repeated Amazon Logistics no-shows,CB,human
135042,d16fed7ee9862a07cc9f0c69076420ab2dad40e40db4f4ae51d589b5be03e492,"Wie lange dauert es denn, bis ein neuer [USER]-Locker online zu sehen ist?","[USER] Sollte eigentlich ziemlich schnell gehen, fehlt noch einer? Gruß ^TA",135040,Fri Nov 24 08:52:56 +0000 2017,delivery,1,German question about locker going online,CB,human
2414498,d16fed7ee9862a07cc9f0c69076420ab2dad40e40db4f4ae51d589b5be03e492,"[USER] Was ist das eigentlich neuerdings? Same-Day braucht per ""Amazon Logistics"" 2-3 Tage.",[USER] Nach 2-3 Tages ist das aber nicht mehr der selbe Tag :( Hast du das schon im Kundenservice reklamiert? ^AN,2414497,Tue Nov 14 17:00:59 +0000 2017,delivery,1,German complaint that same-day took days,CB,human
2551065,d16fed7ee9862a07cc9f0c69076420ab2dad40e40db4f4ae51d589b5be03e492,"Hey [USER], in der Fire-TV-Stick-Bildschirmschoner-Diashow gibt es ein Bild mit dem Titel ""Elbe nähe der Region Böhmen, Schweiz""

Da ist irgendwas falsch. Entweder es ist nicht die Elbe, oder ihr meint die sächsische Schweiz.",[USER] Wärst du stattdessen auch mit der Böhmischen Schweiz zufrieden? ;-) Diese sollte auf der tschechischen Seite liegen. :-) Gruß ^MH,2551063,Sat Nov 25 23:00:13 +0000 2017,product,1,German Fire TV screensaver caption error,CB,human
134852,88df15cb307d637eb34718af24a7fdf9cdff28cbfd7f64682d270abff028fb20,#UX design selon [USER] : dois-je prendre en compte le message de validation ou le message d'erreur ? Je suis confus [USER] 🤔 [URL],"[USER] Bonjour, avez-vous reçu un email suite à cela ? ^SM",134851,Fri Nov 24 08:52:30 +0000 2017,other,1,French UX screenshot; missing image,CB,human
268696,859398bbdfcbf8d1b202a323355e6e603d3425b4fa5c5a3ace09ff0dd11e0a15,"[USER] your TNF stream is crashing & claiming my Roku, which has streamed your videos fine for years, now has insufficient bandwidth.",[USER] I'm so sorry it isn't streaming! Please try these troubleshooting steps: [URL] and let us know how it goes. ^JN,268695,Fri Oct 06 00:33:03 +0000 2017,product,1,Video stream crashing a Roku,CB,human
2894550,01c1f6c1ba4e540c1c52b873dec9d8a58616ba382703c7946bb3cf1a52741eab,We need more companies like [USER] I love you!❤️ [URL],"[USER] Hey Alec, we love you too! 💁 Glad you like our lil dog picture! How cute huh?! ^JC.",2894549,Tue Nov 28 15:59:18 +0000 2017,feedback,0,Pure praise,CB,human
1734563,49100f73b8d7b310fbf20eaaa29cf77857f9ff4ee4cae90cc7526c05e1d452d1,[USER] Is there a way to put a custom delivery instructions? there isn't a suitable instruction for my location . thanks!,[USER] Hi George! You can contact the courier directly to leave instructions: [URL] ^AB,1734561,Tue Nov 07 13:20:03 +0000 2017,delivery,1,Wants custom delivery instructions,CB,human
240402,ed53e6732d01020e2c03337ee0c19b711ee1d0680a797b1c79983ec576ab0033,[USER] has it's own delivery service! And it is amazing! UPS and FED EX need to take notes from them. Amazon is taking over the world! Lol,"[USER] Thanks for the kind words, Letecia! We love hearing this from our customers! Have a great day! ^FR",240400,Wed Oct 04 16:19:17 +0000 2017,feedback,0,Praise for Amazon delivery vs UPS/FedEx,CB,human
1338506,456d9bf53df72279f066753d87ace424a930124da1540df51f73927687ee875b,[USER] promised 1 day prime delivery but finally delivered in 4 days! Itz amusing tht they always hv problems with every delivery of mine,[USER] Apologies for the delay. Kindly share your details here : [URL] and I'll look into this. ^SG,1338504,Mon Oct 16 13:04:03 +0000 2017,delivery,1,Prime one-day took four days,CB,human
1540476,456d9bf53df72279f066753d87ace424a930124da1540df51f73927687ee875b,[USER] You guys are a piece of shit. Shame on you guys.,"[USER] That's quite a remark, Krishna. Please elaborate your concern for us to assist you better. ^SV",1540474,Sat Nov 04 02:12:29 +0000 2017,feedback,1,Abuse with no specified issue,CB,human
1704748,33661e611ae29e58b408b9908c484b07208df903483c6afa751d6b12fc6d362b,[USER] [USER] tired amazon pantry and this is how my items ended up. They were spilled everywhere too. [URL],[USER] Oh no! Have you reached us to report this and to explore all of your available options: [URL] ^DW,1704747,Mon Nov 06 22:16:45 +0000 2017,product,1,Pantry items spilled; missing image,CB,human
399895,304a5ef0b4e05b58caf6b02cf06fbbc290849a485c15ee6693f0d259a53c30ab,Oh I love how Amazon decided to finally charge me for the thing they hadn't shipped for a week the DAY I DECIDED TO CANCEL. :////,"[USER] I'm sorry for any inconvenience this causes! If the item was cancelled, you'll receive a refund within 3-5 days. ^WT",399894,Mon Oct 09 18:44:28 +0000 2017,refund_return,1,Charged on the day of cancellation,CB,human
1276119,62daea79b44ef918306e7353e8d345d1ba4c84e2cdabd9e0ad918b0423c9afec,"[USER] All, be aware of recent Amazon prime membership charges directly applied by Amazon on your registered account with them.","[USER] Hello Rahul, could you please let me know if you have any queries regarding your prime membership? ^GU",1276117,Mon Oct 16 07:50:37 +0000 2017,subscription,1,Warning about Prime membership charges,CB,human
2098701,23cf8dab710a1e5725132c431298af11884d6ae16841ff15e7c7f9983c17b2e2,[USER] When will be the amazon black Friday sale in india??Any updates...,"[USER] We haven't announced any dates as of now, kindly stay tuned to our website for updates. ^RD",2098699,Thu Oct 19 03:43:33 +0000 2017,other,1,India Black Friday date is current-policy information,CB,human
2061350,72a976b361cd9d916b329bfbfdedc264100e6ebeeaccfd3a51b5d10818588b4b,"Olha só o que acabou de chegar da dona [USER], bons tempos da DC quando ela tinha uma pegada mais divertida. [URL]","[USER] Olá! Que livro legal, Alessandro! *-* Você já começou a ler ele? ^CR",2061349,Thu Oct 19 00:42:45 +0000 2017,feedback,0,Portuguese social share of a received book,CB,human
22483,e2c1fa8557302e50b9913e71bcdc926e2a7b4bbe090da7f9c47bdbaa33184718,"[USER] I had ordered a RedMi 4,  4GB, 64Gb. delivered faulty piece, want re-order the product [USER] price. was going out nxt day.",[USER] Apologies on receiving a faulty product. You may visit the website and place an order 1/2 ^SB [USER] for the phone which you are looking for. 2/2 ^SB,"22484,22482",Wed Nov 01 08:33:55 +0000 2017,product,1,Faulty phone delivered; wants replacement,CB,human
331323,cb8e188ab94a8e16283c5e625aea1d8d00914864d69803f0b14ea3c972684c70,[USER] Your delivery guy left my package at another house (delivery pic proves it!) and the agent said I have to wait mon at 5 to deal. Bs!,"[USER] We're sorry for the trouble this has caused! Just to confirm, who is the listed carrier: [URL] ^WM",331321,Sat Oct 07 18:21:47 +0000 2017,delivery,1,Left at another house; support delay,CB,human
389911,c96d29d350007be340c08d02fe915fdc763932ef8ec3f19b36f910df0d707703,"[USER] Hello, Amazon. I received a delivery attempted notice that I don't think is legitimate. Can you look into this? [URL]",[USER] We don't have access to your account via Twitter but we'd still like to help! Pls give us a call: [URL] ^TG,389910,Mon Oct 09 15:13:52 +0000 2017,delivery,1,Suspicious delivery-attempt notice,CB,human
1423020,f9e0a1e134134c049b6718c689ceed8cff36f46d16303fe2d43bc6f503b01367,[USER] men’s grooming #harpic seriously [USER] [USER] [URL],[USER] Thanks for flagging this to us. I'll pass along your feedback to our team internally and get this reviewed. ^GK,1423018,Thu Nov 02 09:17:36 +0000 2017,product,1,Possible wrong listing; catalog review,CB,human
2580480,ee9dd93854f26c452937229b9f7ac21c37dcae047b8da87ed5fb9082c702538f,[USER] The Ultra Sun and Ultra Moon Steelbook Dual Pack I ordered from you all hasn't shipped yet. I want to keep trusting you but with the experiences I've had with pre-orders from you this year is a bit too much.,[USER] I'm sorry for this wait. Was Release-Date Delivery an option at checkout?  ^DO,2580479,Thu Nov 16 22:24:54 +0000 2017,delivery,1,Pre-order steelbook has not shipped,CB,human
